date,value,ma_value,lg_ma_value
2022/01/01 12:00,2.0,0.0,2.288174675
2022/01/01 13:00,424.0,0.0,2.313515707
2022/01/01 14:00,181.0,0.0,2.200029267
2022/01/01 15:00,376.0,0.0,2.392696953
2022/01/01 16:00,114.0,0.0,2.606739546
2022/01/01 17:00,68.0,194.0,2.7747602
2022/01/01 18:00,72.0,206.0,2.902546779
2022/01/01 19:00,140.0,159.0,3.000144741
2022/01/01 20:00,712.0,247.0,3.062707304
2022/01/01 21:00,1320.0,404.0,3.111710471
2022/01/01 22:00,1260.0,595.0,3.100370545
2022/01/01 23:00,1290.0,799.0,3.102662342
2022/01/02 00:00,1280.0,1000.0,3.094005022
2022/01/02 01:00,1070.0,1160.0,3.115610512
2022/01/02 02:00,1540.0,1290.0,3.145092768
2022/01/02 03:00,1120.0,1260.0,3.132473155
2022/01/02 04:00,1300.0,1270.0,3.124395529
2022/01/02 05:00,1140.0,1240.0,3.106644114
2022/01/02 06:00,1660.0,1310.0,3.062581984
2022/01/02 07:00,1620.0,1400.0,2.969182859
2022/01/02 08:00,1300.0,1360.0,2.853698212
2022/01/02 09:00,970.0,1330.0,2.736794755
2022/01/02 10:00,980.0,1280.0,2.603505232
2022/01/02 11:00,400.0,1160.0,2.397940009
2022/01/02 12:00,319.0,932.0,2.280654236
2022/01/02 13:00,315.0,714.0,2.182319527
2022/01/02 14:00,289.0,546.0,2.1430148
2022/01/02 15:00,105.0,401.0,2.515211304
2022/01/02 16:00,72.0,250.0,2.792391689
2022/01/02 17:00,45.0,191.0,2.922379407
2022/01/02 18:00,87.0,152.0,3.024827605
2022/01/02 19:00,236.0,139.0,3.101288716
2022/01/02 20:00,1420.0,328.0,3.144055027
2022/01/02 21:00,1860.0,620.0,3.131404779
2022/01/02 22:00,1370.0,836.0,3.104373288
2022/01/02 23:00,1380.0,1060.0,3.094005022
2022/01/03 00:00,1310.0,1260.0,3.085766127
2022/01/03 01:00,1020.0,1390.0,3.123307071
2022/01/03 02:00,1180.0,1350.0,3.173186268
2022/01/03 03:00,1370.0,1270.0,3.169772369
2022/01/03 04:00,1190.0,1240.0,3.158362492
2022/01/03 05:00,1240.0,1220.0,3.139669232
2022/01/03 06:00,1970.0,1330.0,3.102433706
2022/01/03 07:00,1990.0,1490.0,3.002094033
2022/01/03 08:00,1110.0,1480.0,2.857633985
2022/01/03 09:00,1140.0,1440.0,2.750508395
2022/01/03 10:00,826.0,1380.0,2.589763488
2022/01/03 11:00,560.0,1270.0,2.414416203
2022/01/03 12:00,403.0,1000.0,2.246334417
2022/01/03 13:00,284.0,721.0,2.075546961
2022/01/03 14:00,165.0,563.0,2.019808393
2022/01/03 15:00,95.0,389.0,2.442740999
2022/01/03 16:00,51.0,260.0,2.758154622
2022/01/03 17:00,60.0,176.0,2.901912177
2022/01/03 18:00,59.0,119.0,2.991742785
2022/01/03 19:00,198.0,105.0,3.073596169
2022/01/03 20:00,1200.0,277.0,3.11804416
2022/01/03 21:00,1870.0,573.0,3.121340946
2022/01/03 22:00,1400.0,798.0,3.076397685
2022/01/03 23:00,1160.0,981.0,3.068433253
2022/01/04 00:00,1280.0,1180.0,3.080024888
2022/01/04 01:00,964.0,1310.0,3.139039058
2022/01/04 02:00,1260.0,1320.0,3.190798431
2022/01/04 03:00,1090.0,1190.0,3.190798431
2022/01/04 04:00,1270.0,1170.0,3.196360442
2022/01/04 05:00,1350.0,1200.0,3.178929009
2022/01/04 06:00,2330.0,1380.0,3.130869604
2022/01/04 07:00,2010.0,1550.0,3.011288434
2022/01/04 08:00,1260.0,1550.0,2.861832998
2022/01/04 09:00,1210.0,1570.0,2.72916479
2022/01/04 10:00,899.0,1510.0,2.536768806
2022/01/04 11:00,401.0,1350.0,2.302475237
2022/01/04 12:00,378.0,1030.0,2.141972076
2022/01/04 13:00,217.0,728.0,1.921686475
2022/01/04 14:00,111.0,536.0,1.858336646
2022/01/04 15:00,59.0,344.0,2.392696953
2022/01/04 16:00,38.0,201.0,2.756255649
2022/01/04 17:00,29.0,139.0,2.902637361
2022/01/04 18:00,47.0,83.5,3.013258665
2022/01/04 19:00,149.0,72.2,3.107718611
2022/01/04 20:00,1160.0,247.0,3.158362492
2022/01/04 21:00,2000.0,571.0,3.163360182
2022/01/04 22:00,1410.0,799.0,3.146644745
2022/01/04 23:00,1420.0,1030.0,3.129797271
2022/01/05 00:00,1550.0,1280.0,3.132473155
2022/01/05 01:00,1100.0,1440.0,3.163360182
2022/01/05 02:00,1260.0,1460.0,3.210407706
2022/01/05 03:00,1670.0,1400.0,3.218360422
2022/01/05 04:00,1090.0,1350.0,3.200029267
2022/01/05 05:00,1470.0,1360.0,3.190798431
2022/01/05 06:00,2150.0,1460.0,3.148448404
2022/01/05 07:00,2100.0,1620.0,3.043427778
2022/01/05 08:00,1440.0,1650.0,2.904354836
2022/01/05 09:00,1260.0,1590.0,2.765792692
