Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411905,3388700,492,21,5,-90.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411850,3388665,490,0,5,-99.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411930,3388745,491,0,5,-104
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411935,3388750,491,0,5,-108.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411940,3388735,490,0,5,-108.33
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411925,3388760,491,21,5,-113
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411880,3388715,493,21,6,-99
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413345,3392510,495,0,13,-98
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413320,3392485,495,18,5,-93
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413270,3392435,495,0,5,-80.32
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413260,3392425,496,0,5,-82.67
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413275,3392440,495,0,5,-80.2
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413230,3392475,497,0,12,-71.78
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413205,3392450,498,0,5,-76.14
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413245,3392410,496,0,6,-83
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413240,3392405,496,21,6,-88.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413220,3392465,497,0,5,-71.13
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413225,3392470,497,0,12,-67.31
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413215,3392460,497,0,5,-74.14
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413265,3392430,496,0,5,-80.36
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413255,3392420,496,0,5,-88
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413330,3392495,495,0,13,-99.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413200,3392445,498,0,5,-81.36
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413235,3392480,496,0,5,-73.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413210,3392455,497,0,5,-79.57
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413250,3392415,496,0,5,-85.33
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411695,3388735,495,0,5,-116
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411700,3388750,495,0,5,-117.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411730,3388780,495,21,12,-114.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413175,3392475,498,0,5,-75.75
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413185,3392445,498,21,12,-80
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413170,3392480,498,0,12,-75.25
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413190,3392460,498,0,5,-80.17
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413255,3392395,496,0,5,-80.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413180,3392450,498,0,5,-82
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413165,3392465,498,0,5,-83.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413195,3392455,498,0,5,-80.67
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413160,3392470,498,0,5,-77
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413250,3392400,496,0,5,-91
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,412910,3392620,491,0,13,-82.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411805,3388810,496,0,12,-113.71
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411760,3388845,495,0,12,-117.33
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411815,3388820,496,0,12,-113
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,411810,3388815,496,0,12,-113.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413445,3392375,496,0,6,-89.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413485,3392335,500,0,5,-96.67
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413480,3392340,499,0,5,-91.5
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413495,3392325,500,0,5,-93.35
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413490,3392330,500,0,5,-91.67
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413130,3392470,498,21,12,-84
111801,413215,3392400,27,310,9,6,2585,14.2,497,0,5,413225,3392375,497,0,5,-74
